task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
66	ae/627ef8	294947	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_256_B)	CACHED	0	2024-01-29 10:17:30.623	295ms	31ms	70.6%	2.8 MB	3.9 MB	13.6 MB	13.5 MB
67	ac/39aee3	311176	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_256_B)	CACHED	0	2024-01-29 10:17:37.670	3.9s	4s	204.8%	411.2 MB	6.2 GB	26.1 MB	5.7 MB
68	18/2c0b69	312655	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_256_B)	CACHED	0	2024-01-29 10:17:41.598	12s	12s	103.2%	899.6 MB	2.5 GB	52.1 MB	4.2 MB
69	e0/90cf76	294954	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_257_B)	CACHED	0	2024-01-29 10:17:30.626	294ms	31ms	67.9%	2.6 MB	3.9 MB	16 MB	15.9 MB
70	09/54a350	314229	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_257_B)	CACHED	0	2024-01-29 10:18:06.564	3.8s	4s	221.6%	394.4 MB	6.1 GB	28.5 MB	5.7 MB
71	2a/d29bd6	313553	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_257_B)	CACHED	0	2024-01-29 10:17:53.646	12.9s	13s	103.1%	935.3 MB	2.4 GB	54.5 MB	4.8 MB
72	1d/f4563d	295439	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_258_B)	CACHED	0	2024-01-29 10:17:30.920	301ms	35ms	60.0%	2.8 MB	3.9 MB	15.2 MB	15 MB
73	a2/ab1dba	316688	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_258_B)	CACHED	0	2024-01-29 10:18:40.569	3.8s	4s	201.9%	399.6 MB	6.1 GB	27.6 MB	5.8 MB
74	ec/5b62e3	315894	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_258_B)	CACHED	0	2024-01-29 10:18:27.579	13s	13s	102.8%	921.2 MB	2.4 GB	53.6 MB	4.7 MB
75	c6/9513a0	295440	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_259_B)	CACHED	0	2024-01-29 10:17:30.922	312ms	45ms	50.0%	2.8 MB	3.9 MB	16.2 MB	16.1 MB
76	9e/8b7e9f	317109	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_259_B)	CACHED	0	2024-01-29 10:18:44.408	3.8s	4s	213.8%	416.7 MB	6.1 GB	28.9 MB	5.7 MB
77	77/a07a2b	317636	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_259_B)	CACHED	0	2024-01-29 10:18:48.251	13.6s	13s	102.4%	946.9 MB	2.5 GB	54.7 MB	5.2 MB
78	31/5f3e78	295559	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_260_B)	CACHED	0	2024-01-29 10:17:31.021	318ms	32ms	88.9%	2.6 MB	3.9 MB	16.7 MB	16.6 MB
79	48/3126e4	319176	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_260_B)	CACHED	0	2024-01-29 10:19:15.336	3.8s	4s	201.2%	405.1 MB	6.1 GB	29.4 MB	5.7 MB
80	1a/442c3b	318406	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_260_B)	CACHED	0	2024-01-29 10:19:01.843	13.5s	13s	102.8%	945.7 MB	2.5 GB	55.2 MB	5 MB
81	19/1715fd	295850	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_261_B)	CACHED	0	2024-01-29 10:17:31.223	289ms	32ms	90.6%	2.6 MB	3.9 MB	19.6 MB	19.5 MB
83	28/07721d	319596	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_261_B)	CACHED	0	2024-01-29 10:19:19.176	14.6s	14s	102.6%	1003.3 MB	2.5 GB	58.1 MB	6.2 MB
82	22/247e5e	320346	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_261_B)	CACHED	0	2024-01-29 10:19:33.817	3.8s	3s	203.3%	432.5 MB	6.2 GB	32.1 MB	5.7 MB
84	9a/b91355	295885	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_262_B)	CACHED	0	2024-01-29 10:17:31.237	286ms	29ms	49.0%	2.6 MB	3.9 MB	14.4 MB	14.3 MB
86	01/c8ca0f	320847	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_262_B)	CACHED	0	2024-01-29 10:19:37.651	12.5s	13s	103.0%	908 MB	2.5 GB	52.8 MB	4.1 MB
85	40/30b979	321582	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_262_B)	CACHED	0	2024-01-29 10:19:50.171	3.8s	3s	174.6%	385.3 MB	6.1 GB	26.8 MB	5.8 MB
87	8b/feb5fe	296090	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_263_B)	CACHED	0	2024-01-29 10:17:31.341	280ms	30ms	69.2%	2.6 MB	3.9 MB	13.2 MB	13.1 MB
88	a9/27fb4c	322739	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_263_B)	CACHED	0	2024-01-29 10:20:06.677	3.8s	4s	189.3%	393.6 MB	6.1 GB	25.7 MB	5.8 MB
89	62/0a854f	321974	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_263_B)	CACHED	0	2024-01-29 10:19:54.017	12.7s	12s	103.0%	903 MB	2.5 GB	51.7 MB	4.3 MB
90	21/1b27f5	296372	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_264_B)	CACHED	0	2024-01-29 10:17:31.514	286ms	37ms	60.0%	2.8 MB	3.9 MB	16.4 MB	16.3 MB
91	35/c1d3d2	323212	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_264_B)	CACHED	0	2024-01-29 10:20:10.513	3.8s	4s	206.8%	409.1 MB	6.1 GB	28.9 MB	5.8 MB
92	ec/f6f68c	323605	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_264_B)	CACHED	0	2024-01-29 10:20:14.360	13.5s	13s	102.8%	948.2 MB	2.5 GB	54.9 MB	5 MB
93	47/be37a4	296394	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_265_B)	CACHED	0	2024-01-29 10:17:31.525	286ms	33ms	62.1%	2.5 MB	3.9 MB	16.5 MB	16.4 MB
94	f8/1a2452	325005	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_265_B)	CACHED	0	2024-01-29 10:20:41.624	3.8s	4s	198.0%	401.9 MB	6.1 GB	29 MB	5.8 MB
95	90/abad2a	324294	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_265_B)	CACHED	0	2024-01-29 10:20:27.822	13.8s	13s	102.7%	960.6 MB	2.5 GB	55 MB	5.4 MB
96	c9/6c26fb	296594	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_266_B)	CACHED	0	2024-01-29 10:17:31.624	301ms	31ms	60.0%	2.5 MB	3.9 MB	11.6 MB	11.5 MB
97	04/0dfb97	326176	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_266_B)	CACHED	0	2024-01-29 10:20:56.775	3.8s	4s	193.7%	401.4 MB	6.1 GB	24.1 MB	5.9 MB
98	7c/4d062c	325502	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_266_B)	CACHED	0	2024-01-29 10:20:45.472	11.3s	11s	103.0%	861.7 MB	2.4 GB	50.1 MB	3.3 MB
99	7b/6508ec	296878	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_267_B)	CACHED	0	2024-01-29 10:17:31.802	305ms	29ms	48.0%	2.8 MB	3.9 MB	15.1 MB	14.9 MB
101	ca/ddc375	326645	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_267_B)	CACHED	0	2024-01-29 10:21:00.613	13.3s	13s	102.7%	941.6 MB	2.5 GB	53.5 MB	4.8 MB
100	ae/99afd3	327278	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_267_B)	CACHED	0	2024-01-29 10:21:13.931	3.8s	3s	191.8%	407.6 MB	6.1 GB	27.6 MB	6 MB
102	1e/e1c7d8	296899	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Villapol_268_B)	CACHED	0	2024-01-29 10:17:31.814	297ms	30ms	69.2%	2.8 MB	3.9 MB	10.9 MB	10.8 MB
103	f0/601151	328397	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Villapol_268_B)	CACHED	0	2024-01-29 10:21:29.051	3.8s	3s	185.6%	389 MB	6.1 GB	23.4 MB	5.9 MB
104	04/848eab	327775	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Villapol_268_B)	CACHED	0	2024-01-29 10:21:17.771	11.3s	12s	103.3%	855.2 MB	2.4 GB	49.3 MB	3.3 MB
