index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;;;,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;;,Bacteria;Firmicutes;Bacilli;,Bacteria;Bacteroidota;Bacteroidia;,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Firmicutes;Clostridia;,Bacteria;Firmicutes;Clostridia;Christensenellales,;;;,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Clostridia;Eubacteriales,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_35d_239,5869.0,90.0,1547.0,2867.0,8107.0,936.0,75.0,212.0,384.0,7.0,13.0,3.0,208.0,124.0,16.0,3.0,3.0,0.0,66.0,174.0,0.0,5.0,0.0,83.0,0.0,0.0,0.0,239.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_240,4320.0,2.0,1803.0,4263.0,7196.0,940.0,65.0,185.0,79.0,7.0,8.0,13.0,250.0,122.0,10.0,1.0,0.0,0.0,52.0,132.0,0.0,5.0,0.0,165.0,0.0,0.0,0.0,240.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_241,6260.0,43.0,3475.0,4992.0,5736.0,1227.0,117.0,165.0,232.0,8.0,9.0,23.0,360.0,158.0,66.0,0.0,0.0,0.0,69.0,107.0,0.0,7.0,0.0,301.0,0.0,0.0,0.0,241.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_242,4635.0,20.0,1903.0,3426.0,8309.0,976.0,112.0,348.0,136.0,7.0,6.0,0.0,158.0,563.0,46.0,1.0,1.0,0.0,37.0,189.0,0.0,11.0,2.0,511.0,0.0,0.0,0.0,242.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_243,6912.0,164.0,559.0,4727.0,3499.0,1342.0,156.0,219.0,446.0,14.0,19.0,0.0,205.0,928.0,26.0,0.0,1.0,0.0,0.0,72.0,0.0,16.0,0.0,223.0,0.0,0.0,0.0,243.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_244,1663.0,0.0,2672.0,1085.0,3228.0,245.0,65.0,0.0,34.0,0.0,0.0,1.0,66.0,61.0,22.0,0.0,0.0,0.0,12.0,31.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,244.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_245,3991.0,0.0,4437.0,3432.0,7014.0,745.0,139.0,26.0,49.0,6.0,0.0,3.0,153.0,485.0,41.0,0.0,0.0,0.0,24.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_246,3734.0,0.0,6610.0,2647.0,6832.0,803.0,96.0,21.0,10.0,3.0,0.0,0.0,127.0,292.0,31.0,0.0,0.0,0.0,16.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_247,4897.0,0.0,6259.0,4571.0,4564.0,1164.0,95.0,43.0,71.0,16.0,0.0,0.0,125.0,18.0,21.0,4.0,0.0,0.0,15.0,56.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,247.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_248,4513.0,32.0,2540.0,2829.0,7492.0,744.0,370.0,225.0,89.0,8.0,181.0,21.0,234.0,280.0,36.0,0.0,4.0,0.0,22.0,94.0,0.0,4.0,0.0,21.0,0.0,0.0,0.0,248.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_249,4858.0,60.0,2805.0,2146.0,7360.0,469.0,780.0,659.0,312.0,0.0,454.0,0.0,219.0,786.0,4.0,0.0,0.0,0.0,32.0,233.0,4.0,9.0,0.0,39.0,0.0,0.0,0.0,249.0,WT,F,CCI,PAN,35d,PAN
